Parsed URL is ,https://mvideo.ru
Title,"М.Видео - интернет-магазин цифровой и бытовой техники и электроники, низкие цены, большой каталог, отзывы. - Москва"
Description,Интернет-магазин цифровой и бытовой техники и электроники М.Видео (mvideo.ru). В каталоге большой выбор товаров по доступным ценам с доставкой на дом и самовывоз из магазинов М.Видео по всей России. Гарантия качества!
Keywords,"Интернет-магазин, бытовая техника, цифровая техника, электроника, М.Видео"
Canonical,https://www.mvideo.ru
H1 tag,М.Видео – лидер по продаже электроники и бытовой техники среди розничных сетей России 
H2 tag,"['Скидки до 40%', 'Samsung Galaxy A50', 'Техника Apple', 'Карта «М.Видео-ВТБ»', '«М.Бонус» в вашем смартфоне', 'М.Бонус', 'JBL JR POP', 'Сохраните планету!', 'Кухни «Мария» в «М.Видео»', 'Выбор покупателей', '', '', '', '', '', 'Свежие обзоры', 'Популярные новости', 'Полезное:']"
H3 tag,"['\r\nВстраиваемая посудомоечная маш...', '\r\nСтиральная машина узкая Samsun...', '\r\nХолодильник Hotpoint-Ariston H...', '\r\nТелевизор Samsung UE43NU7470U', '\r\nСмартфон Huawei P20 Midnight B...', 'Конкурс отзывов на ТВ', 'Сила притяжения подарков', 'Конкурс от Philips', 'Устрой себе отпуск мечты!']"
H4 tag,"['\n\n\tБеспроводная акустика JBL Charge 4 Black \n\t\n', '\n\n\tТелевизор LG 49UK6300 \n\t\n', '\n\n\tНаушники Bluetooth JBL Tune 500BT White (JBLT500BTWHT) \n\t\n', '\n\n\tХолодильник Samsung RB34N5061SA \n\t\n', '\n\n\tПланшет Apple iPad mini 7.9 Wi-Fi 64Gb SpGr MUQW2RU/A \n\t\n', '\n\n\tТелевизор Samsung QE55Q60RAU \n\t\n', '\n\n\tПланшет Apple iPad Air 10.5 WF+CL 64Gb SpGr MV0D2RU/A \n\t\n', '\n\n\tПылесос ручной (handstick) Dyson Cyclone V11 Absolute \n\t\n', '\n\n\tМузыкальный центр Micro Sven MS-307 \n\t\n', '\n\n\tСоковыжималка шнековая Moulinex ZU420E10 \n\t\n', '\n\n\tСтиральная машина узкая Candy Smart CSS34 1062DB1-07 \n\t\n', '\n\n\tМузыкальный центр Mini Sony MHC-V11//C \n\t\n', 'Обратная связь']"
H5 tag,This website hasn't an H5 tag
H6 tag,This website hasn't an H6 tag

Parsed URL is ,https://dns-shop.ru
Title,DNS – интернет магазин цифровой и бытовой техники по доступным ценам.
Description,"Большой ассортимент электроники, цифровой и бытовой техники, а так же товаров для дома, известных брендов в интернет-магазине DNS по отличным ценам. Гарантия и сервис. Доставка!"
Canonical,This website hasn't a canonical
H1 tag,This website hasn't an H1 tag
H2 tag,['Лучшие предложения']
H3 tag,"['6.47"" Смартфон Huawei P30 Pro 256 ГБ синий', '14"" Ноутбук HP Pavilion x360 14-cd1015ur синий', '75"" (189 см) Телевизор QLED Samsung QE75Q60R черный', '10.8"" Планшет Huawei MediaPad M5 10 32 Гбайт  серый', 'Холодильник LG GA-B509BEHZ бежевый', 'Стиральная машина  DEXP WM-F510STL/WW', 'Видеокарта ASRock AMD Radeon RX 590 Phantom Gaming X OC [90-GA0U10-00UANF]', '27"" Монитор Samsung C27JG50QQI [LC27JG50QQIXCI]', 'ПК HP 290 G1 [5QM33ES]', 'Зеркальная камера Canon EOS 4000D Kit 18-55mm III черный', 'Пылесос Kitfort KT-529 черный', 'МФУ лазерное Pantum M6500', '\n\t\t\tНовости\n\t\t\tВсе новости', '\n\t\t\tОбзоры\n\t\t\tВсе обзоры']"
H4 tag,"['Компания DNS', 'Покупателям', 'Помощь', 'Прайс листы', 'Оставайтесь на связи', 'Наличие товара (Новосибирск)', '']"
H5 tag,This website hasn't an H5 tag
H6 tag,This website hasn't an H6 tag

Parsed URL is ,https://janusww.com
Title,Translation and Language Services | Janus Worldwide
Description,"Janus Worldwide is a leading provider of translation and localization services. Offering turn-key solutions, from one-stop translation to design services"
Canonical,https://janusww.com
H1 tag,A full-service localization company
H2 tag,"['Janus News & Events', 'Our main offices']"
H3 tag,"['About us', 'Services', 'Technology', 'The Global Technology Platform']"
H4 tag,"['USA', 'Austria', 'Czech Republic', 'Germany', 'China', 'United Kingdom', 'Argentina', 'Kazakhstan', 'Ukraine', 'Russia', 'Russia']"
H5 tag,This website hasn't an H5 tag
H6 tag,This website hasn't an H6 tag

